epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,62.0357,0.7022,0.82558,0.57003,0.8883,0,0.99566,1,0.995,0.82298,0.99566,1,0.995,0.77515,0.55943,0.69832,0.49625,0.73967,0,0.00820525,0.00820525,0.00820525
30,63.9198,0.66979,0.74445,0.55047,0.87317,0,0.99244,1,0.995,0.84483,0.99244,1,0.995,0.7933,0.51492,0.67471,0.41178,0.73442,0,0.00808389,0.00808389,0.00808389
31,65.7251,0.66318,0.7635,0.52893,0.88045,0,0.99061,1,0.995,0.86956,0.99061,1,0.995,0.81422,0.47052,0.67323,0.41775,0.73657,0,0.00795954,0.00795954,0.00795954
32,67.5998,0.67946,0.76077,0.54576,0.87172,0,0.98199,0.99223,0.995,0.82739,0.98199,0.99223,0.995,0.80095,0.57274,0.65226,0.48161,0.74591,0,0.00783231,0.00783231,0.00783231
33,69.4712,0.68115,0.74067,0.55797,0.86998,0,0.85525,0.98214,0.9775,0.78689,0.85525,0.98214,0.9775,0.75377,0.59538,0.68334,0.48047,0.76141,0,0.00770234,0.00770234,0.00770234
34,71.2685,0.67119,0.73405,0.54384,0.8698,0,0.99154,1,0.995,0.86341,0.99154,1,0.995,0.80892,0.49968,0.65753,0.4265,0.73416,0,0.00756976,0.00756976,0.00756976
35,73.0705,0.68086,0.73667,0.56804,0.86668,0,0.93768,0.99317,0.995,0.82715,0.93768,0.99317,0.995,0.80391,0.561,0.7192,0.43026,0.74712,0,0.00743468,0.00743468,0.00743468
36,74.9342,0.64916,0.78311,0.5571,0.86294,0,0.97429,0.98302,0.995,0.85584,0.97429,0.98302,0.995,0.76853,0.52232,0.78728,0.41489,0.74191,0,0.00729725,0.00729725,0.00729725
37,76.7372,0.66186,0.73941,0.54645,0.86425,0,0.96745,0.9812,0.99167,0.85652,0.96745,0.9812,0.99167,0.79123,0.49087,0.66315,0.46015,0.73388,0,0.00715761,0.00715761,0.00715761
38,78.6366,0.64224,0.79306,0.54596,0.8775,0,0.96161,1,0.995,0.83847,0.96161,1,0.995,0.80371,0.53141,0.59877,0.46508,0.74485,0,0.00701588,0.00701588,0.00701588
39,80.6345,0.62789,0.7426,0.49911,0.86011,0,0.99236,0.99276,0.995,0.85063,0.99236,0.99276,0.995,0.7874,0.50171,0.62292,0.41168,0.73722,0,0.00687222,0.00687222,0.00687222
40,82.6148,0.64597,0.72948,0.4985,0.86468,0,0.98659,0.98641,0.995,0.86276,0.98659,0.98641,0.995,0.82631,0.48161,0.65894,0.35057,0.73132,0,0.00672675,0.00672675,0.00672675
41,84.6823,0.60439,0.68293,0.48373,0.84823,0,0.99639,1,0.995,0.87171,0.99639,1,0.995,0.81752,0.40844,0.71905,0.36333,0.71907,0,0.00657963,0.00657963,0.00657963
42,86.6509,0.5991,0.72092,0.48537,0.85304,0,0.99199,1,0.995,0.88666,0.99199,1,0.995,0.83018,0.42172,0.62695,0.32023,0.71933,0,0.00643101,0.00643101,0.00643101
43,88.695,0.60446,0.74479,0.48029,0.85012,0,0.95868,1,0.995,0.86068,0.95868,1,0.995,0.82666,0.59733,0.70266,0.42404,0.74435,0,0.00628101,0.00628101,0.00628101
44,91.514,0.58256,0.70087,0.46429,0.85537,0,0.91906,0.92329,0.986,0.86107,0.91906,0.92329,0.986,0.79642,0.53701,0.77835,0.46054,0.73049,0,0.00612981,0.00612981,0.00612981
45,94.5092,0.59272,0.74276,0.49213,0.8428,0,0.98361,0.98744,0.995,0.88504,0.98361,0.98744,0.995,0.81767,0.51728,0.63281,0.46612,0.73112,0,0.00597754,0.00597754,0.00597754
46,96.7878,0.59284,0.71707,0.46646,0.84502,0,0.98735,1,0.995,0.84909,0.98735,1,0.995,0.78894,0.54657,0.69517,0.41685,0.73633,0,0.00582435,0.00582435,0.00582435
47,98.5953,0.59607,0.73883,0.48556,0.8627,0,0.96345,1,0.995,0.88539,0.96345,1,0.995,0.80484,0.48129,0.63888,0.34937,0.72461,0,0.0056704,0.0056704,0.0056704
48,100.484,0.60947,0.70774,0.48527,0.84751,0,0.99328,1,0.995,0.90981,0.99328,1,0.995,0.81038,0.41301,0.58765,0.32649,0.71754,0,0.00551584,0.00551584,0.00551584
49,102.506,0.58653,0.68559,0.4505,0.85075,0,0.99193,1,0.995,0.90724,0.99193,1,0.995,0.82768,0.43121,0.60064,0.35545,0.72163,0,0.00536081,0.00536081,0.00536081
50,104.365,0.56022,0.70202,0.43592,0.84412,0,0.99324,1,0.995,0.85728,0.99324,1,0.995,0.82374,0.56188,0.65632,0.36387,0.73547,0,0.00520548,0.00520548,0.00520548
51,106.053,0.56567,0.67807,0.43266,0.84346,0,0.93437,0.99775,0.995,0.87424,0.93437,0.99775,0.995,0.79223,0.48479,0.73009,0.36178,0.72418,0,0.00505,0.00505,0.00505
52,107.866,0.55655,0.69052,0.43683,0.85119,0,0.99588,1,0.995,0.87107,0.99588,1,0.995,0.82071,0.43723,0.63395,0.33965,0.71848,0,0.00489452,0.00489452,0.00489452
53,109.745,0.57137,0.7083,0.41744,0.84479,0,0.99028,1,0.995,0.89721,0.99028,1,0.995,0.85615,0.48504,0.5683,0.34767,0.72406,0,0.00473919,0.00473919,0.00473919
54,111.661,0.56034,0.70163,0.42144,0.84196,0,0.99474,1,0.995,0.88088,0.99474,1,0.995,0.83494,0.46282,0.60469,0.34109,0.72031,0,0.00458416,0.00458416,0.00458416
55,113.52,0.53809,0.64072,0.42471,0.84179,0,0.98852,1,0.995,0.88625,0.98852,1,0.995,0.80024,0.43865,0.65175,0.36661,0.71445,0,0.0044296,0.0044296,0.0044296
56,115.494,0.52023,0.652,0.41578,0.8392,0,0.98835,0.98363,0.995,0.88789,0.98835,0.98363,0.995,0.80936,0.51878,0.72095,0.31937,0.73196,0,0.00427565,0.00427565,0.00427565
57,117.465,0.54432,0.6536,0.42967,0.83883,0,0.99092,0.98828,0.995,0.90357,0.99092,0.98828,0.995,0.83515,0.45108,0.66742,0.32486,0.72528,0,0.00412246,0.00412246,0.00412246
58,119.299,0.53009,0.65518,0.41622,0.84517,0,0.99384,1,0.995,0.89128,0.99384,1,0.995,0.8296,0.43779,0.54158,0.28943,0.71892,0,0.00397019,0.00397019,0.00397019
59,120.948,0.5281,0.67535,0.41026,0.82979,0,0.99369,1,0.995,0.88809,0.99369,1,0.995,0.80413,0.44921,0.73367,0.30344,0.71889,0,0.00381899,0.00381899,0.00381899
60,122.6,0.50545,0.63788,0.40124,0.82816,0,0.99194,1,0.995,0.90143,0.99194,1,0.995,0.83297,0.40696,0.54453,0.30954,0.71322,0,0.00366899,0.00366899,0.00366899
61,124.244,0.51336,0.66471,0.39555,0.84015,0,0.99319,1,0.995,0.90006,0.99319,1,0.995,0.81961,0.3579,0.62264,0.30621,0.70971,0,0.00352037,0.00352037,0.00352037
62,125.904,0.50768,0.66361,0.39861,0.83547,0,0.97249,1,0.995,0.90577,0.97249,1,0.995,0.83321,0.3909,0.59847,0.3348,0.7084,0,0.00337325,0.00337325,0.00337325
63,127.55,0.51214,0.65872,0.39785,0.82901,0,0.99518,1,0.995,0.90261,0.99518,1,0.995,0.84304,0.41857,0.56978,0.30903,0.71108,0,0.00322778,0.00322778,0.00322778
64,129.203,0.52504,0.66088,0.39991,0.8347,0,0.99469,1,0.995,0.89679,0.99469,1,0.995,0.83097,0.47032,0.54036,0.32285,0.71647,0,0.00308412,0.00308412,0.00308412
65,131.168,0.50422,0.62482,0.3949,0.83569,0,0.99197,1,0.995,0.9116,0.99197,1,0.995,0.84335,0.42606,0.53367,0.30139,0.71124,0,0.00294239,0.00294239,0.00294239
66,133.879,0.50264,0.69966,0.37929,0.83356,0,0.99345,1,0.995,0.90951,0.99345,1,0.995,0.81909,0.43165,0.58581,0.30337,0.71264,0,0.00280275,0.00280275,0.00280275
