epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,15.6528,2.23384,1.19902,1.03499,0.68887,0.42427,0.47359,0.20799,2.25149,1.93075,1.11259,0.00946048,0.00946048,0.00946048
17,16.5319,2.17395,1.11718,0.98486,0.57605,0.7494,0.66003,0.22744,2.32051,1.31948,1.06806,0.00938772,0.00938772,0.00938772
18,17.4094,2.15308,1.11876,1.02068,0.63141,0.83551,0.82566,0.2732,2.30868,1.23658,1.04841,0.00931067,0.00931067,0.00931067
19,18.2776,2.12476,1.04911,1.01143,0.85444,0.62019,0.74161,0.23831,2.30062,1.18604,1.053,0.00922942,0.00922942,0.00922942
20,19.1336,2.11162,1.08888,0.99041,0.80006,0.83889,0.85631,0.29309,2.18378,1.02706,1.02998,0.00914405,0.00914405,0.00914405
21,20.014,2.14055,1.02745,0.99876,0.8984,0.77802,0.89918,0.35113,2.05055,1.02247,1.02181,0.00905463,0.00905463,0.00905463
22,20.9066,2.12828,1.02888,0.994,0.86707,0.8124,0.89724,0.34462,2.03396,1.05295,1.01078,0.00896127,0.00896127,0.00896127
23,21.7421,2.06004,0.98984,1.00026,0.88742,0.83595,0.90983,0.36293,2.03823,1.05378,0.99308,0.00886404,0.00886404,0.00886404
24,22.683,2.10286,0.98459,0.97882,0.91624,0.89046,0.91814,0.38134,1.98612,0.97858,0.99819,0.00876305,0.00876305,0.00876305
25,23.4887,2.11947,1.01618,1.0018,0.88362,0.83392,0.92362,0.37042,1.98156,1.0231,0.99539,0.00865839,0.00865839,0.00865839
26,24.3013,2.12998,1.00656,0.99666,0.91801,0.85293,0.90729,0.32216,2.13697,0.93527,1.02636,0.00855018,0.00855018,0.00855018
27,25.1163,2.03845,0.98067,1.00199,0.88965,0.89879,0.91018,0.36333,2.00253,0.95185,0.98989,0.00843851,0.00843851,0.00843851
28,25.9069,2.04236,0.9824,0.98338,0.81298,0.61288,0.76028,0.28063,2.14366,1.50511,1.0576,0.00832349,0.00832349,0.00832349
29,26.6806,2.16069,1.0032,0.96913,0.53511,0.14848,0.17342,0.04778,3.50663,2.25201,1.56639,0.00820525,0.00820525,0.00820525
30,27.4413,2.04738,0.9799,0.96804,0.71354,0.63813,0.71078,0.26725,2.20837,1.10816,1.04822,0.00808389,0.00808389,0.00808389
31,28.224,2.13253,1.00289,1.00788,0.70367,0.55399,0.61915,0.22863,2.16437,1.34464,1.06072,0.00795954,0.00795954,0.00795954
32,29.0268,2.07727,0.98705,0.98381,0.75471,0.74511,0.76071,0.27277,2.09375,1.02747,1.03644,0.00783231,0.00783231,0.00783231
33,29.8045,2.08067,0.9609,0.97819,0.94167,0.93611,0.94644,0.37522,1.94464,0.94332,0.97503,0.00770234,0.00770234,0.00770234
34,30.5974,2.0317,0.94026,0.98144,0.91392,0.93644,0.958,0.40113,1.85369,0.86287,0.96184,0.00756976,0.00756976,0.00756976
35,31.5293,1.96416,0.93571,0.9464,0.89429,0.93072,0.94482,0.40247,1.89889,0.88212,0.98595,0.00743468,0.00743468,0.00743468
36,32.9289,1.97442,0.92885,0.95322,0.91773,0.91882,0.91603,0.36049,1.84868,0.88173,0.96008,0.00729725,0.00729725,0.00729725
37,34.2972,2.06315,0.96134,0.96925,0.71474,0.60165,0.76092,0.29689,2.05361,1.41161,1.04091,0.00715761,0.00715761,0.00715761
38,35.5781,2.01623,0.92216,0.97613,0.93478,0.90566,0.94256,0.38342,1.88358,0.93453,0.98461,0.00701588,0.00701588,0.00701588
39,36.9704,2.02489,0.94616,0.94447,0.84445,0.87824,0.9302,0.39586,1.98507,1.14526,0.99241,0.00687222,0.00687222,0.00687222
40,37.8858,1.96455,0.92567,0.9869,0.94117,0.89313,0.9419,0.41859,1.84515,0.81046,0.96346,0.00672675,0.00672675,0.00672675
41,38.6708,1.9799,0.91212,0.97281,0.93839,0.9445,0.94807,0.36774,1.94425,0.81492,0.98985,0.00657963,0.00657963,0.00657963
42,39.4642,2.00612,0.90193,0.96899,0.84781,0.87144,0.92562,0.37734,1.96823,0.98038,0.99188,0.00643101,0.00643101,0.00643101
43,40.2473,1.96607,0.8728,0.96454,0.7633,0.74879,0.83196,0.30258,2.17953,1.17839,1.04981,0.00628101,0.00628101,0.00628101
44,41.0548,1.97342,0.88947,0.97918,0.77162,0.8129,0.82381,0.30342,2.14651,1.11666,1.04606,0.00612981,0.00612981,0.00612981
45,41.8346,1.94674,0.91927,0.97585,0.76915,0.59859,0.68648,0.27135,2.31597,1.63817,1.09999,0.00597754,0.00597754,0.00597754
46,42.6401,1.9606,0.90869,0.97503,0.799,0.83984,0.85001,0.35615,2.03726,0.97668,1.03076,0.00582435,0.00582435,0.00582435
47,43.4339,1.97503,0.87614,0.92458,0.9546,0.94232,0.95849,0.40748,1.8384,0.78645,0.97198,0.0056704,0.0056704,0.0056704
48,44.246,1.95199,0.90256,0.98074,0.94412,0.93974,0.93928,0.39185,1.91123,0.79485,0.98034,0.00551584,0.00551584,0.00551584
49,45.0173,1.98057,0.88014,0.96325,0.7222,0.65858,0.70422,0.269,2.18748,1.0345,1.06684,0.00536081,0.00536081,0.00536081
50,45.7877,1.94814,0.86122,0.95421,0.70909,0.67246,0.66149,0.22371,2.2664,1.15135,1.07433,0.00520548,0.00520548,0.00520548
51,46.5558,1.91234,0.85817,0.95819,0.85055,0.85849,0.87862,0.3147,2.06097,0.92948,1.00836,0.00505,0.00505,0.00505
52,47.3345,1.947,0.86288,0.94869,0.23234,0.05676,0.05285,0.01719,4.27733,2.88343,2.65728,0.00489452,0.00489452,0.00489452
53,48.2518,1.9372,0.88448,0.95933,0.92657,0.91543,0.94261,0.38119,1.87947,0.78657,0.97773,0.00473919,0.00473919,0.00473919
54,49.046,1.86992,0.86012,0.93571,0.92991,0.92778,0.92834,0.39298,1.84921,0.77066,0.95807,0.00458416,0.00458416,0.00458416
55,49.8486,1.87017,0.84475,0.96659,0.94871,0.93544,0.96744,0.41732,1.81744,0.79096,0.94973,0.0044296,0.0044296,0.0044296
56,50.67,1.88953,0.82017,0.98104,0.95128,0.96389,0.96759,0.40393,1.8182,0.80587,0.94741,0.00427565,0.00427565,0.00427565
57,51.4929,1.90617,0.82155,0.94605,0.9895,0.96389,0.96167,0.40928,1.80503,0.77215,0.94545,0.00412246,0.00412246,0.00412246
58,52.2909,1.89809,0.83791,0.96326,0.96048,0.9494,0.94954,0.40992,1.87237,0.81099,0.96561,0.00397019,0.00397019,0.00397019
59,53.105,1.88863,0.82126,0.98511,0.16552,0.21679,0.17579,0.0656,3.30218,2.26227,1.72677,0.00381899,0.00381899,0.00381899
60,53.9337,1.89438,0.83015,0.94016,0.92427,0.9647,0.95838,0.42656,1.81381,0.76927,0.96758,0.00366899,0.00366899,0.00366899
61,54.7622,1.94239,0.82959,0.92728,0.89591,0.94279,0.95648,0.40422,1.8785,0.79777,0.96487,0.00352037,0.00352037,0.00352037
62,55.5919,1.9509,0.83548,0.95885,0.94565,0.96132,0.95638,0.42759,1.862,0.76805,0.97127,0.00337325,0.00337325,0.00337325
63,56.437,1.85784,0.81218,0.94489,0.83012,0.66209,0.7461,0.30785,2.06396,0.93575,1.05943,0.00322778,0.00322778,0.00322778
64,57.2404,1.91471,0.79313,0.94874,0.95005,0.93921,0.96139,0.43283,1.79876,0.74748,0.95838,0.00308412,0.00308412,0.00308412
65,58.0313,1.85587,0.80789,0.94877,0.95025,0.91899,0.94929,0.42975,1.79367,0.7595,0.96627,0.00294239,0.00294239,0.00294239
66,58.832,1.8581,0.80103,0.95305,0.93597,0.91681,0.93262,0.43873,1.79085,0.77494,0.96555,0.00280275,0.00280275,0.00280275
67,59.6258,1.88527,0.82171,0.93939,0.95836,0.94822,0.95278,0.44374,1.80805,0.76284,0.9625,0.00266532,0.00266532,0.00266532
68,60.5871,1.83846,0.81492,0.95187,0.93685,0.96389,0.96091,0.44296,1.76049,0.73763,0.94714,0.00253024,0.00253024,0.00253024
69,61.3715,1.7385,0.75716,0.94573,0.94806,0.96389,0.96026,0.42478,1.76895,0.74037,0.94518,0.00239766,0.00239766,0.00239766
70,62.1602,1.90184,0.786,0.94339,0.97597,0.9494,0.97216,0.43671,1.79853,0.73185,0.95174,0.00226769,0.00226769,0.00226769
71,62.972,1.79604,0.77297,0.93789,0.97105,0.97162,0.9721,0.4207,1.85466,0.73811,0.95646,0.00214046,0.00214046,0.00214046
72,63.7934,1.84996,0.78332,0.92618,0.98428,0.95781,0.96645,0.4137,1.83552,0.73858,0.96123,0.00201611,0.00201611,0.00201611
73,64.6014,1.84947,0.78822,0.93864,0.98179,0.97445,0.98911,0.41731,1.80417,0.74897,0.96207,0.00189475,0.00189475,0.00189475
74,65.4053,1.83422,0.76779,0.93827,0.97535,0.97775,0.98582,0.42147,1.80793,0.75313,0.95902,0.00177651,0.00177651,0.00177651
75,66.2351,1.84412,0.77369,0.92035,0.98273,0.97721,0.9927,0.42573,1.80035,0.74015,0.95765,0.00166149,0.00166149,0.00166149
76,67.0503,1.79074,0.75623,0.93768,0.96071,0.95172,0.97814,0.4451,1.77214,0.72569,0.94451,0.00154982,0.00154982,0.00154982
77,67.9143,1.77413,0.75423,0.92708,0.97305,0.95169,0.97964,0.4463,1.78981,0.72125,0.95163,0.00144161,0.00144161,0.00144161
78,68.7585,1.82125,0.77338,0.92044,0.96744,0.96786,0.97344,0.44101,1.79713,0.71121,0.95583,0.00133695,0.00133695,0.00133695
79,69.705,1.85796,0.78226,0.92437,0.96669,0.95914,0.97242,0.41177,1.84373,0.73853,0.9576,0.00123596,0.00123596,0.00123596
80,70.9857,1.81106,0.79189,0.94899,0.96195,0.96389,0.96642,0.43745,1.81783,0.71439,0.95267,0.00113873,0.00113873,0.00113873
81,72.4349,1.89471,0.76415,0.95576,0.96782,0.96389,0.97002,0.45298,1.80408,0.70773,0.95339,0.00104537,0.00104537,0.00104537
82,73.8971,1.79962,0.76346,0.94946,0.96492,0.96228,0.97002,0.45949,1.75761,0.71876,0.95259,0.000955951,0.000955951,0.000955951
83,75.5507,1.85087,0.753,0.92108,0.96532,0.96389,0.97328,0.44996,1.75499,0.71966,0.95439,0.000870577,0.000870577,0.000870577
84,76.6925,1.77272,0.73897,0.92298,0.9735,0.97162,0.97775,0.45247,1.7794,0.72153,0.95556,0.000789327,0.000789327,0.000789327
85,77.5952,1.65755,0.69788,0.85032,0.96746,0.96389,0.97225,0.44441,1.76145,0.7124,0.94976,0.000712282,0.000712282,0.000712282
86,78.5166,1.71283,0.76076,0.93219,0.95352,0.9494,0.95784,0.43172,1.75082,0.7084,0.94851,0.000639518,0.000639518,0.000639518
87,79.3959,1.72696,0.73203,0.94096,0.95247,0.95614,0.96241,0.43052,1.76691,0.70904,0.95096,0.000571106,0.000571106,0.000571106
88,80.2971,1.76318,0.72809,0.91422,0.96351,0.941,0.96796,0.42906,1.78064,0.71343,0.95431,0.000507115,0.000507115,0.000507115
89,81.1849,1.6997,0.70808,0.91009,0.96208,0.93721,0.96796,0.44729,1.77655,0.70565,0.95393,0.000447606,0.000447606,0.000447606
90,82.0636,1.79954,0.71896,0.90925,0.96288,0.9369,0.96796,0.4502,1.76663,0.69143,0.95078,0.00039264,0.00039264,0.00039264
91,83.4362,1.70763,0.7394,0.94208,0.96659,0.97225,0.97056,0.4533,1.77195,0.68649,0.94799,0.00034227,0.00034227,0.00034227
92,84.2602,1.7495,0.72425,0.97446,0.95449,0.95553,0.95534,0.45014,1.78613,0.6913,0.94937,0.000296546,0.000296546,0.000296546
93,85.0498,1.72427,0.71555,0.9459,0.95491,0.95468,0.95509,0.44198,1.78637,0.69264,0.95096,0.000255513,0.000255513,0.000255513
94,85.8232,1.88553,0.75907,0.94563,0.95442,0.95367,0.95509,0.44063,1.77582,0.69032,0.95145,0.000219212,0.000219212,0.000219212
95,86.6011,1.76269,0.74453,0.92993,0.97579,0.97404,0.98109,0.44388,1.76286,0.69219,0.94959,0.000187678,0.000187678,0.000187678
96,87.5954,1.79843,0.7575,0.93874,0.96729,0.96642,0.97056,0.45493,1.7544,0.69613,0.94709,0.000160943,0.000160943,0.000160943
97,88.4485,1.73302,0.71231,0.96543,0.96852,0.96854,0.969,0.45355,1.7539,0.69353,0.94698,0.000139032,0.000139032,0.000139032
98,89.3422,1.70569,0.71946,0.9691,0.96858,0.97048,0.97056,0.4554,1.75578,0.69242,0.94708,0.000121968,0.000121968,0.000121968
99,90.2505,1.77964,0.75061,0.96531,0.96829,0.97139,0.97189,0.45347,1.75564,0.6908,0.9467,0.000109768,0.000109768,0.000109768
100,91.1617,1.70509,0.69289,0.92655,0.96788,0.97213,0.97189,0.4567,1.75592,0.69043,0.94561,0.000102443,0.000102443,0.000102443
