epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,49.1973,1.43323,0.81735,1.26605,0.9384,0.9897,0.98093,0.52458,1.57428,0.76145,1.36959,0.00643101,0.00643101,0.00643101
43,50.2033,1.43337,0.77632,1.25126,0.96411,0.97446,0.99081,0.55297,1.51193,0.71239,1.32215,0.00628101,0.00628101,0.00628101
44,51.2211,1.43473,0.75486,1.26067,0.96711,0.95627,0.97877,0.52823,1.53906,0.73747,1.3341,0.00612981,0.00612981,0.00612981
45,52.2222,1.42603,0.77546,1.2597,0.54572,0.39542,0.40999,0.18945,2.19753,4.47074,1.85761,0.00597754,0.00597754,0.00597754
46,53.2585,1.42738,0.78147,1.24321,0.9388,0.98342,0.9922,0.53143,1.52356,0.73367,1.32069,0.00582435,0.00582435,0.00582435
47,54.4176,1.41402,0.76609,1.25618,0.94979,0.93066,0.98207,0.5325,1.54651,0.70759,1.35588,0.0056704,0.0056704,0.0056704
48,55.429,1.39187,0.74079,1.24461,0.94798,0.96972,0.9838,0.52891,1.51174,0.70642,1.33391,0.00551584,0.00551584,0.00551584
49,56.4176,1.35886,0.74133,1.23951,0.56526,0.3559,0.3676,0.17231,2.2393,5.10847,2.14361,0.00536081,0.00536081,0.00536081
50,57.4369,1.38119,0.71548,1.24869,0.98714,0.93006,0.9808,0.50003,1.63048,0.74795,1.40189,0.00520548,0.00520548,0.00520548
51,58.4628,1.40419,0.7291,1.26368,0.95692,0.93277,0.9757,0.51363,1.58906,0.72428,1.37119,0.00505,0.00505,0.00505
52,59.501,1.36323,0.70347,1.22641,0.97809,0.94053,0.98268,0.512,1.64983,0.77362,1.37795,0.00489452,0.00489452,0.00489452
53,60.5846,1.38505,0.73282,1.21388,0.97171,0.97671,0.97671,0.53259,1.53352,0.69938,1.3249,0.00473919,0.00473919,0.00473919
